iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
GTM,North America,Guatemala,2022-03-28,824644.0,142.0,1141.571,17289.0,4.0,6.857,45186.299,7.781,62.552,947.349,0.219,0.376,0.8,,,,,,,,,,,,,,,,,,15845925.0,7624143.0,5929957.0,2291825.0,,66123.0,86.83,41.78,32.49,12.56,3623.0,30481.0,0.167,58.8,18249868.0,157.834,22.9,4.694,3.016,7423.808,8.7,155.898,10.18,,,76.665,0.6,74.3,0.663,,,,
GGY,Europe,Guernsey,2022-03-23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,150724.0,,,,,25.0,237.79,,,,394.0,,,,63385.0,,,,,,,,,,,,,,,,,,
GIN,Africa,Guinea,2022-03-28,36459.0,0.0,0.0,440.0,0.0,0.0,2701.22,0.0,0.0,32.599,0.0,0.0,0.37,,,,,,,,,668971.0,,49.564,,644.0,0.048,0.005,187.8,tests performed,5952680.0,3472605.0,2480075.0,,,13913.0,44.1,25.73,18.37,,1031.0,9460.0,0.07,54.63,13497237.0,51.755,19.0,3.135,1.733,1998.926,35.3,336.717,2.42,,,17.45,0.3,61.6,0.477,,,,
GNB,Africa,Guinea-Bissau,2022-03-28,8140.0,9.0,3.857,170.0,1.0,0.143,4038.72,4.465,1.914,84.347,0.496,0.071,0.72,,,,,,,,,128552.0,,63.782,,140.0,0.069,0.021,48.6,tests performed,562620.0,519455.0,341495.0,,,32.0,27.91,25.77,16.94,,16.0,22.0,0.001,,2015490.0,66.191,19.4,3.002,1.565,1548.675,67.1,382.474,2.42,,,6.403,,58.32,0.48,,,,
GUY,South America,Guyana,2022-03-28,63235.0,1.0,5.714,1226.0,0.0,0.0,80010.983,1.265,7.23,1551.253,0.0,0.0,0.6,,,,,,,,,,,,,,,,,,889522.0,471864.0,360587.0,57071.0,,493.0,112.55,59.7,45.62,7.22,624.0,119.0,0.015,20.37,790329.0,3.952,26.3,5.305,2.837,7435.047,,373.159,11.62,,,77.159,1.6,69.91,0.682,,,,
HTI,North America,Haiti,2022-03-28,30529.0,18.0,2.857,833.0,6.0,0.857,2645.108,1.56,0.248,72.173,0.52,0.074,0.77,,,,,,,,,187092.0,263.0,16.21,0.023,350.0,0.03,0.014,74.2,tests performed,249801.0,163710.0,112335.0,,,833.0,2.16,1.42,0.97,,72.0,578.0,0.005,34.26,11541683.0,398.448,24.3,4.8,2.954,1653.173,23.5,430.548,6.65,2.9,23.1,22.863,0.7,64.0,0.51,,,,
OWID_HIC,,High income,2022-03-28,267410317.0,1042139.0,1133433.714,2299269.0,2581.0,2535.286,220103.435,857.777,932.921,1892.511,2.124,2.087,,,,,,,,,,,,,,,,,,,2362321498.0,959984005.0,897993050.0,541092761.0,1540575.0,1679853.0,194.44,79.02,73.91,44.54,1383.0,122520.0,0.01,,1214930230.0,,,,,,,,,,,,,,,,,,
HND,North America,Honduras,2022-03-28,420621.0,1829.0,331.571,10971.0,100.0,16.286,41798.793,181.755,32.95,1090.232,9.937,1.618,0.84,,,,,,,,,,,,,,,,,,11995048.0,5377876.0,4777999.0,1796006.0,,14295.0,119.2,53.44,47.48,17.85,1421.0,2252.0,0.022,34.26,10062994.0,82.805,24.9,4.652,2.883,4541.795,16.0,240.208,7.21,2.0,,84.169,0.7,75.27,0.634,,,,
HKG,Asia,Hong Kong,2022-03-28,1136192.0,7685.0,10633.429,7420.0,168.0,185.857,150433.217,1017.503,1407.879,982.417,22.243,24.608,,,,,,,,,,,,,,,,,,,14944464.0,6502770.0,5739533.0,2702161.0,39710.0,59091.0,197.87,86.1,75.99,35.78,7824.0,5407.0,0.072,71.3,7552800.0,7039.714,44.8,16.303,10.158,56054.92,,,8.33,,,,,84.86,0.949,,,,
HUN,Europe,Hungary,2022-03-28,1844581.0,5223.0,2093.286,45342.0,84.0,35.286,191462.527,542.133,217.277,4706.377,8.719,3.663,1.07,,,2205.0,228.873,,,,,10635698.0,33422.0,1103.957,3.469,9729.0,1.01,0.197,5.1,tests performed,16429829.0,6401980.0,6186269.0,4097861.0,,23459.0,170.54,66.45,64.21,42.53,2435.0,205.0,0.002,13.89,9634162.0,108.043,43.4,18.577,11.976,26777.561,0.5,278.296,7.55,26.8,34.8,,7.02,76.88,0.854,,,,
ISL,Europe,Iceland,2022-03-28,179813.0,1428.0,859.571,97.0,0.0,0.857,487572.941,3872.101,2330.776,263.021,0.0,2.324,0.76,8.0,21.692,96.0,260.309,,,,,1285516.0,1929.0,3485.748,5.231,1914.0,5.19,,,tests performed,805039.0,309702.0,290040.0,250325.0,,64.0,218.29,83.98,78.65,67.88,174.0,8.0,0.002,11.11,368792.0,3.404,37.3,14.431,9.207,46482.958,0.2,117.992,5.31,14.3,15.2,,2.91,82.99,0.949,,,,
IND,Asia,India,2022-03-28,43021982.0,1259.0,1573.0,521070.0,35.0,646.714,30875.343,0.904,1.129,373.953,0.025,0.464,0.53,,,,,,,,,786302714.0,658489.0,564.301,0.473,582004.0,0.418,0.003,350.8,samples tested,1833040014.0,984051283.0,827610878.0,21377853.0,1692273.0,2736644.0,131.55,70.62,59.39,1.53,1964.0,1606060.0,0.115,,1393409033.0,450.419,28.2,5.989,3.414,6426.674,21.2,282.28,10.39,1.9,20.6,59.55,0.53,69.66,0.645,,,,
IDN,Asia,Indonesia,2022-03-28,6001751.0,5875.0,4938.429,154774.0,204.0,126.0,21717.007,21.258,17.869,560.041,0.738,0.456,0.3,,,,,,,,,59503735.0,103179.0,215.311,0.373,114413.0,0.414,0.084,11.9,people tested,375911010.0,195958039.0,157974507.0,21125889.0,329943.0,1491019.0,136.02,70.91,57.16,7.64,5395.0,167507.0,0.061,51.39,276361788.0,145.725,29.3,5.319,3.053,11188.744,5.7,342.864,6.32,2.8,76.1,64.204,1.04,71.72,0.718,,,,
OWID_INT,,International,2022-03-28,721.0,0.0,0.0,15.0,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
IRN,Asia,Iran,2022-03-28,7154003.0,2915.0,1673.714,140063.0,42.0,57.286,84136.273,34.283,19.684,1647.243,0.494,0.674,0.52,,,,,,,,,49236429.0,,579.056,,62401.0,0.734,0.023,43.7,tests performed,146655682.0,63847113.0,56771574.0,26036995.0,353561.0,82544.0,172.48,75.09,66.77,30.62,971.0,11845.0,0.014,,85028760.0,49.831,32.4,5.44,3.182,19082.62,0.2,270.308,9.59,0.8,21.1,,1.5,76.68,0.783,,,,
IRQ,Asia,Iraq,2022-03-28,2318450.0,473.0,306.286,25156.0,6.0,3.571,56301.276,11.486,7.438,610.889,0.146,0.087,0.63,,,,,,,,,,,,,,,,,,17536902.0,10266670.0,7121524.0,,,20559.0,42.59,24.93,17.29,,499.0,10591.0,0.026,46.3,41179351.0,88.125,20.0,3.186,1.957,15663.986,2.5,218.612,8.83,,,94.576,1.4,70.6,0.674,,,,
IRL,Europe,Ireland,2022-03-28,1442877.0,19932.0,7528.571,6721.0,11.0,8.143,289565.482,4000.077,1510.88,1348.812,2.208,1.634,1.77,49.0,9.834,1185.0,237.813,5.0,1.007,1128.0,226.41,11770347.0,12490.0,2362.146,2.507,17124.0,3.437,0.531,1.9,tests performed,10739809.0,4068624.0,4007328.0,2903783.0,5683.0,4214.0,215.53,81.65,80.42,58.27,846.0,291.0,0.006,11.11,4982904.0,69.874,38.7,13.928,8.678,67335.293,0.2,126.459,3.28,23.0,25.7,,2.96,82.3,0.955,,,,
IMN,Europe,Isle of Man,2022-03-28,27925.0,359.0,228.571,82.0,0.0,0.143,326952.348,4203.255,2676.167,960.075,0.0,1.673,,,,,,,,,,,,,,,,,,,189478.0,69517.0,66976.0,52985.0,142.0,76.0,221.85,81.39,78.42,62.04,890.0,4.0,0.005,,85410.0,147.872,,,,,,,,,,,,81.4,,,,,
ISR,Asia,Israel,2022-03-28,3876115.0,11967.0,12901.286,10485.0,25.0,7.714,417190.292,1288.021,1388.579,1128.511,2.691,0.83,1.32,137.0,14.745,925.0,99.559,17.0,1.83,627.0,67.485,48323268.0,47597.0,5201.084,5.123,62858.0,6.765,0.195,5.1,people tested,18056822.0,6702435.0,6127964.0,5226423.0,1404.0,2230.0,194.35,72.14,65.96,56.25,240.0,96.0,0.001,17.59,9291000.0,402.606,30.6,11.733,7.359,33132.32,0.5,93.32,6.74,15.4,35.4,,2.99,82.97,0.919,,,,
ITA,Europe,Italy,2022-03-28,14396283.0,31560.0,71585.0,158877.0,95.0,139.0,238477.491,522.798,1185.821,2631.831,1.574,2.303,1.12,487.0,8.067,9983.0,165.371,316.0,5.235,4349.0,72.042,199235675.0,211535.0,3300.381,3.504,472137.0,7.821,0.152,6.6,tests performed,135827313.0,50720905.0,47811669.0,38801966.0,43493.0,44297.0,225.0,84.02,79.2,64.28,734.0,2141.0,0.004,63.89,60367471.0,205.859,47.9,23.021,16.24,35220.084,2.0,113.151,4.78,19.8,27.8,,3.18,83.51,0.892,,,,
JAM,North America,Jamaica,2022-03-28,128704.0,25.0,19.857,2881.0,2.0,1.714,43284.226,8.408,6.678,968.904,0.673,0.577,0.77,,,,,,,,,907881.0,2309.0,305.328,0.777,2561.0,0.861,0.009,106.7,samples tested,1392820.0,779986.0,671989.0,32774.0,1406.0,875.0,46.84,26.23,22.6,1.1,294.0,349.0,0.012,62.96,2973462.0,266.879,31.4,9.684,6.39,8193.571,,206.537,11.28,5.3,28.6,66.425,1.7,74.47,0.734,,,,
JPN,Asia,Japan,2022-03-28,6406058.0,29720.0,39737.286,27841.0,65.0,94.429,50821.242,235.778,315.248,220.871,0.516,0.749,0.92,1155.0,9.163,16233.0,128.781,,,,,41185177.0,66749.0,326.735,0.53,113751.0,0.902,0.347,2.9,people tested,252334857.0,102370587.0,100593847.0,49370423.0,779830.0,829635.0,200.19,81.21,79.8,39.17,6582.0,34415.0,0.027,47.22,126050796.0,347.778,48.2,27.049,18.493,39002.223,,79.37,5.72,11.2,33.7,,13.05,84.63,0.919,,,,
JEY,Europe,Jersey,2022-03-20,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,226090.0,82777.0,79327.0,61488.0,,414.0,223.69,81.9,78.48,60.84,4096.0,4.0,0.004,,101073.0,,,,,,,,,,,,,,,,,,
JOR,Asia,Jordan,2022-03-28,1692485.0,3171.0,453.0,14031.0,28.0,4.0,164814.624,308.793,44.113,1366.342,2.727,0.39,0.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,20.37,10269022.0,109.285,23.2,3.81,2.361,8337.49,0.1,208.257,11.75,,,,1.4,74.53,0.729,,,,
KAZ,Asia,Kazakhstan,2022-03-28,1393689.0,46.0,33.286,19010.0,2.0,0.857,73371.523,2.422,1.752,1000.792,0.105,0.045,0.28,,,,,,,,,,,,,,,,,,,9450763.0,9148401.0,,,,,49.75,48.16,,,1353.0,0.007,,18994958.0,6.681,30.6,6.991,4.625,24055.588,0.1,466.792,7.11,7.0,43.1,98.999,6.7,73.6,0.825,,,,
KEN,Africa,Kenya,2022-03-28,323383.0,9.0,13.429,5647.0,0.0,0.0,5881.22,0.164,0.244,102.699,0.0,0.0,0.87,,,,,,,,,3499532.0,,63.644,,3657.0,0.067,0.004,262.1,tests performed,17327143.0,11696182.0,8090985.0,268625.0,13702.0,29846.0,31.51,21.27,14.71,0.49,543.0,12089.0,0.022,13.89,54985702.0,87.324,20.0,2.686,1.528,2993.028,36.8,218.637,2.92,1.2,20.4,24.651,1.4,66.7,0.601,,,,
KIR,Oceania,Kiribati,2022-03-28,3065.0,0.0,4.0,13.0,0.0,0.0,25249.613,0.0,32.952,107.095,0.0,0.0,0.63,,,,,,,,,,,,,,,,,,133953.0,78620.0,55333.0,,,502.0,110.35,64.77,45.58,,4135.0,152.0,0.125,72.69,121388.0,143.701,23.2,3.895,2.21,1981.132,,434.657,22.66,35.9,58.9,,1.9,68.37,0.63,,,,
OWID_KOS,Europe,Kosovo,2022-03-28,227377.0,16.0,32.429,3132.0,2.0,0.714,127588.287,8.978,18.197,1757.462,1.122,0.401,0.62,,,,,,,,,1795375.0,,1007.441,,1042.0,0.585,0.032,30.8,tests performed,1821541.0,901524.0,820147.0,99870.0,186.0,207.0,102.21,50.59,46.02,5.6,116.0,43.0,0.002,33.33,1782115.0,168.155,,,,9795.834,0.6,,,,,,,,,,,,
KWT,Asia,Kuwait,2022-03-28,628460.0,330.0,125.143,2553.0,0.0,0.0,145189.397,76.238,28.911,589.804,0.0,0.0,0.53,,,,,,,,,,,,,,,,,,7814545.0,3410314.0,3283891.0,,,8822.0,180.53,78.79,75.87,,2038.0,506.0,0.012,24.07,4328553.0,232.128,33.7,2.345,1.114,65530.537,,132.235,15.84,2.7,37.0,,2.0,75.49,0.806,,,,
KGZ,Asia,Kyrgyzstan,2022-03-28,200892.0,13.0,10.571,2985.0,1.0,0.714,30308.009,1.961,1.595,450.339,0.151,0.108,0.73,,,,,,,,,,,,,,,,,,2894397.0,1486106.0,1234771.0,,2903.0,4746.0,43.67,22.42,18.63,,716.0,1223.0,0.018,36.11,6628347.0,32.333,26.3,4.489,2.882,3393.474,1.4,436.362,7.11,3.6,50.5,89.22,4.5,71.45,0.697,,,,
LAO,Asia,Laos,2022-03-28,169256.0,1263.0,2166.0,661.0,1.0,1.429,22936.413,171.153,293.521,89.574,0.136,0.194,1.93,,,,,,,,,1004082.0,3134.0,136.066,0.425,1202.0,0.163,0.877,1.1,tests performed,10048983.0,5593478.0,4455505.0,,37326.0,17309.0,136.18,75.8,60.38,,2346.0,11955.0,0.162,78.7,7379358.0,29.715,24.4,4.029,2.322,6397.36,22.7,368.111,4.0,7.3,51.2,49.839,1.5,67.92,0.613,,,,
LVA,Europe,Latvia,2022-03-28,791550.0,930.0,2737.143,5577.0,2.0,9.0,423983.922,498.143,1466.117,2987.251,1.071,4.821,0.7,65.0,34.816,908.0,486.359,76.0,40.887,800.0,428.27,6978938.0,3202.0,3738.181,1.715,7519.0,4.027,0.367,2.7,tests performed,2874324.0,1344075.0,1302192.0,513625.0,299.0,527.0,153.96,71.99,69.75,27.51,282.0,61.0,0.003,30.09,1866934.0,31.212,43.9,19.754,14.136,25063.846,0.7,350.06,4.91,25.6,51.0,,5.57,75.29,0.866,,,,
LBN,Asia,Lebanon,2022-03-28,1091084.0,302.0,355.571,10288.0,5.0,5.143,161184.763,44.614,52.528,1519.836,0.739,0.76,0.53,,,,,,,,,,,,,,,,,,5270369.0,2514417.0,2198831.0,557121.0,1106.0,1995.0,77.86,37.15,32.48,8.23,295.0,493.0,0.007,,6769151.0,594.561,31.1,8.514,5.43,13367.565,,266.591,12.71,26.9,40.7,,2.9,78.93,0.744,,,,
LSO,Africa,Lesotho,2022-03-28,32880.0,105.0,15.0,697.0,0.0,0.0,15228.8,48.632,6.947,322.825,0.0,0.0,0.28,,,,,,,,,427372.0,,197.943,,1216.0,0.563,0.021,47.9,tests performed,905438.0,782175.0,727528.0,,,1358.0,41.94,36.23,33.7,,629.0,0.0,0.0,,2159067.0,73.562,22.2,4.506,2.647,2851.153,59.6,405.126,3.94,0.4,53.9,2.117,,54.33,0.527,,,,
LBR,Africa,Liberia,2022-03-28,7400.0,3.0,0.429,294.0,0.0,0.0,1428.514,0.579,0.083,56.754,0.0,0.0,0.27,,,,,,,,,,,,,,,,,,1132502.0,1047889.0,1015633.0,,,2522.0,21.86,20.23,19.61,,487.0,375.0,0.007,,5180208.0,49.127,19.2,3.057,1.756,752.788,38.6,272.509,2.42,1.5,18.1,1.188,0.8,64.1,0.48,,,,
LBY,Africa,Libya,2022-03-28,501559.0,64.0,60.571,6408.0,4.0,4.429,72078.215,9.197,8.705,920.883,0.575,0.636,0.35,,,,,,,,,,809.0,,0.116,,,,,samples tested,3415834.0,2201314.0,1125758.0,89762.0,602.0,3382.0,49.09,31.63,16.18,1.29,486.0,1537.0,0.022,50.0,6958538.0,3.623,29.0,4.424,2.816,17881.509,,341.862,10.43,,,,3.7,72.91,0.724,,,,
LIE,Europe,Liechtenstein,2022-03-28,16139.0,41.0,97.286,83.0,0.0,0.0,421890.521,1071.783,2543.151,2169.708,0.0,0.0,0.89,,,,,,,5.0,129.042,,,,,,,,,,70434.0,26721.0,26395.0,18320.0,0.0,14.0,184.12,69.85,69.0,47.89,366.0,1.0,0.003,31.48,38254.0,237.012,,,,,,,7.77,,,,2.397,82.49,0.919,,,,
LTU,Europe,Lithuania,2022-03-28,1016117.0,1107.0,3166.286,8841.0,23.0,15.0,377758.041,411.545,1177.118,3286.786,8.551,5.576,0.85,,,1323.0,491.847,,,,,8433342.0,3686.0,3135.232,1.37,9721.0,3.614,0.401,2.5,tests performed,4464562.0,1948326.0,1872351.0,918789.0,70.0,473.0,165.98,72.43,69.61,34.16,176.0,71.0,0.003,,2689862.0,45.135,43.5,19.002,13.778,29524.265,0.7,342.989,3.67,21.3,38.0,,6.56,75.93,0.882,,,,
OWID_LIC,,Low income,2022-03-28,1814209.0,288.0,228.429,42963.0,7.0,5.286,2727.523,0.433,0.343,64.592,0.011,0.008,,,,,,,,,,,,,,,,,,,136775532.0,96461180.0,74837038.0,2936693.0,932383.0,494600.0,20.56,14.5,11.25,0.44,744.0,161870.0,0.024,,665149040.0,,,,,,,,,,,,,,,,,,
OWID_LMC,,Lower middle income,2022-03-28,88918078.0,282737.0,184849.0,1299560.0,531.0,1056.857,26696.894,84.889,55.499,390.182,0.159,0.317,,,,,,,,,,,,,,,,,,,3760269642.0,1971612798.0,1641791246.0,174995335.0,13708771.0,8643295.0,112.9,59.2,49.29,5.25,2595.0,2800976.0,0.084,,3330652550.0,,,,,,,,,,,,,,,,,,
LUX,Europe,Luxembourg,2022-03-28,211280.0,3057.0,1366.0,1032.0,7.0,2.429,332821.897,4815.584,2151.811,1625.673,11.027,3.826,1.35,3.0,4.726,42.0,66.161,,,17.0,27.152,4149044.0,3466.0,6535.842,5.46,3572.0,5.627,0.391,2.6,tests performed,1280144.0,480279.0,460292.0,369428.0,300.0,254.0,201.66,75.66,72.51,58.19,400.0,21.0,0.003,25.0,634814.0,231.447,39.7,14.312,9.842,94277.965,0.2,128.275,4.42,20.9,26.0,,4.51,82.25,0.916,,,,
MAC,Asia,Macao,2022-03-28,82.0,0.0,0.0,,,,124.546,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,1238228.0,579965.0,509829.0,176487.0,3264.0,3915.0,188.07,88.09,77.44,26.81,5946.0,1302.0,0.198,,658391.0,20546.766,39.2,9.798,4.991,104861.851,,,,,,,,84.24,,,,,
MDG,Africa,Madagascar,2022-03-28,64009.0,0.0,11.571,1384.0,0.0,0.571,2251.671,0.0,0.407,48.686,0.0,0.02,0.62,,,,,,,,,,,,,,,,,,1306962.0,1098703.0,1050879.0,,,3473.0,4.6,3.86,3.7,,122.0,2592.0,0.009,37.5,28427333.0,43.951,19.6,2.929,1.686,1416.44,77.6,405.994,3.94,,,50.54,0.2,67.04,0.528,,,,
MWI,Africa,Malawi,2022-03-28,85620.0,10.0,8.143,2626.0,0.0,0.0,4357.766,0.509,0.414,133.654,0.0,0.0,0.82,,,,,,,,,560213.0,,28.513,,414.0,0.021,0.017,58.9,tests performed,,,,,,,,,,,,,,41.67,19647681.0,197.519,18.1,2.979,1.783,1095.042,71.4,227.349,3.94,4.4,24.7,8.704,1.3,64.26,0.483,,,,
MYS,Asia,Malaysia,2022-03-28,4152203.0,14467.0,20178.714,34842.0,84.0,54.143,126683.497,441.387,615.652,1063.028,2.563,1.652,0.89,288.0,8.787,4175.0,127.379,,,7708.0,235.171,55592018.0,157887.0,1696.11,4.817,163506.0,4.989,0.135,7.4,people tested,68745333.0,27488413.0,25799715.0,15668773.0,41287.0,31262.0,209.74,83.87,78.71,47.81,954.0,8025.0,0.024,54.17,32776195.0,96.254,29.9,6.293,3.407,26808.164,0.1,260.942,16.74,1.0,42.4,,1.9,76.16,0.81,,,,
MDV,Asia,Maldives,2022-03-28,177000.0,2342.0,334.571,298.0,1.0,0.143,325595.085,4308.156,615.451,548.177,1.84,0.263,0.07,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,543620.0,1454.433,30.6,4.12,2.875,15183.616,,164.905,9.19,2.1,55.0,95.803,,78.92,0.74,,,,
MLI,Africa,Mali,2022-03-28,30473.0,1.0,2.714,727.0,0.0,0.0,1461.134,0.048,0.13,34.859,0.0,0.0,0.85,,,,,,,,,654550.0,,31.385,,974.0,0.047,0.003,348.9,tests performed,1873615.0,1331919.0,978690.0,,,8492.0,8.98,6.39,4.69,,407.0,7254.0,0.035,40.74,20855724.0,15.196,16.4,2.519,1.486,2014.306,,268.024,2.42,1.6,23.0,52.232,0.1,59.31,0.434,,,,
MLT,Europe,Malta,2022-03-28,77102.0,353.0,369.143,631.0,0.0,1.0,149393.528,683.976,715.255,1222.631,0.0,1.938,1.53,1.0,1.938,46.0,89.13,,,55.0,106.887,1795093.0,2349.0,3478.188,4.551,2507.0,4.858,0.151,6.6,tests performed,1255418.0,473554.0,466215.0,349906.0,206.0,369.0,243.25,91.76,90.33,67.8,715.0,76.0,0.015,52.78,516100.0,1454.037,42.4,19.426,11.324,36513.323,0.2,168.711,8.83,20.9,30.2,,4.485,82.53,0.895,,,,
MHL,Oceania,Marshall Islands,2022-03-28,7.0,0.0,0.0,,,,117.414,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,59618.0,295.15,,,,3819.202,,557.793,30.53,,,82.502,2.7,73.7,0.704,,,,
MRT,Africa,Mauritania,2022-03-28,58668.0,2.0,0.429,982.0,0.0,0.143,12286.209,0.419,0.09,205.65,0.0,0.03,0.3,,,,,,,,,916953.0,,192.028,,879.0,0.184,0.001,1231.1,tests performed,2650797.0,1553213.0,1057009.0,40677.0,,863.0,55.51,32.53,22.14,0.85,181.0,309.0,0.006,43.52,4775110.0,4.289,20.3,3.138,1.792,3597.633,6.0,232.347,2.42,,,15.95,,64.92,0.546,,,,
MUS,Africa,Mauritius,2022-03-28,204200.0,11642.0,3262.571,968.0,34.0,4.857,160354.57,9142.252,2562.038,760.153,26.7,3.814,0.12,,,,,,,,,,,,,,,,,,,,,578268.0,,,,,,45.41,,,,,1273428.0,622.962,37.4,10.945,5.884,20292.745,0.5,224.644,22.02,3.2,40.7,,3.4,74.99,0.804,,,,
MEX,North America,Mexico,2022-03-28,5651553.0,657.0,2389.143,322761.0,11.0,95.571,43385.972,5.044,18.341,2477.779,0.084,0.734,0.71,,,,,,,,,14843802.0,789.0,113.953,0.006,5143.0,0.039,0.134,7.5,people tested,190441475.0,85575818.0,79693409.0,,103807.0,226775.0,146.2,65.7,61.18,,1741.0,6320.0,0.005,35.19,130262220.0,66.444,29.3,6.857,4.321,17336.469,2.5,152.783,13.06,6.9,21.4,87.847,1.38,75.05,0.779,,,,
FSM,Oceania,Micronesia (country),2022-03-28,1.0,0.0,0.0,,,,8.602,0.0,0.0,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,116255.0,150.777,23.0,4.81,2.392,3299.464,16.0,454.343,12.02,,,,,67.88,0.62,,,,
MDA,Europe,Moldova,2022-03-28,512638.0,36.0,276.857,11421.0,4.0,4.571,127394.338,8.946,68.801,2838.203,0.994,1.136,0.84,,,,,,,,,,4365.0,,1.085,,,,,tests performed,2121069.0,,1053718.0,,0.0,1016.0,52.71,,26.19,,252.0,,,,4024025.0,123.655,37.6,10.864,6.955,5189.972,0.2,408.502,5.72,5.9,44.6,86.979,5.8,71.9,0.75,,,,
MCO,Europe,Monaco,2022-03-28,10530.0,0.0,50.714,54.0,0.0,0.0,266447.368,0.0,1283.256,1366.397,0.0,0.0,1.26,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,31.48,39520.0,19347.5,,,,,,,5.46,,,,13.8,86.75,,,,,
MNG,Asia,Mongolia,2022-03-28,918867.0,1135.0,236.286,2177.0,0.0,0.0,275995.545,340.914,70.972,653.895,0.0,0.0,0.48,,,,,,,,,7302839.0,,2193.518,,3519.0,1.057,0.032,31.0,samples tested,5478362.0,2272327.0,2174398.0,1031637.0,319.0,315.0,164.55,68.25,65.31,30.99,95.0,20.0,0.001,,3329282.0,1.98,28.6,4.031,2.421,11840.846,0.5,460.043,4.82,5.5,46.5,71.18,7.0,69.87,0.737,,,,
MNE,Europe,Montenegro,2022-03-28,232832.0,55.0,83.286,2699.0,1.0,0.429,370721.486,87.573,132.61,4297.422,1.592,0.682,0.84,,,,,,,,,,,,,,,,,,668025.0,289643.0,281511.0,96871.0,16.0,150.0,106.36,46.12,44.82,15.42,239.0,39.0,0.006,,628051.0,46.28,39.1,14.762,9.395,16409.288,1.0,387.305,10.08,44.0,47.9,,3.861,76.88,0.829,,,,
MSR,North America,Montserrat,2022-03-28,175.0,0.0,0.143,2.0,0.0,0.0,35133.507,0.0,28.68,401.526,0.0,0.0,,,,,,,,,,,,,,,,,,,4211.0,1897.0,1804.0,,,4.0,84.54,38.08,36.22,,803.0,1.0,0.02,,4981.0,,,,,,,,,,,,,74.16,,,,,
MAR,Africa,Morocco,2022-03-28,1163012.0,38.0,67.571,16058.0,1.0,0.857,31142.553,1.018,1.809,429.993,0.027,0.023,0.84,,,,,,,,,11261781.0,4632.0,301.562,0.124,6679.0,0.179,0.011,94.5,people tested,54201634.0,24878016.0,23346308.0,6062089.0,,13082.0,145.14,66.62,62.52,16.23,350.0,1113.0,0.003,63.89,37344787.0,80.08,29.6,6.769,4.209,7485.013,1.0,419.146,7.14,0.8,47.1,,1.1,76.68,0.686,,,,
MOZ,Africa,Mozambique,2022-03-28,225239.0,0.0,4.0,2200.0,0.0,0.0,7003.037,0.0,0.124,68.401,0.0,0.0,0.74,,,,,,,,,1293982.0,,40.232,,671.0,0.021,0.006,153.0,tests performed,26215793.0,14243939.0,13130997.0,286062.0,,0.0,81.51,44.29,40.83,0.89,0.0,33818.0,0.105,37.96,32163045.0,37.728,17.7,3.158,1.87,1136.103,62.9,329.942,3.3,5.1,29.1,12.227,0.7,60.85,0.456,,,,
MMR,Asia,Myanmar,2022-03-28,611021.0,163.0,247.571,19430.0,0.0,0.714,11148.795,2.974,4.517,354.523,0.0,0.013,0.48,,,,,,,,,7614334.0,,138.932,,13928.0,0.254,0.019,52.2,samples tested,49316486.0,26473700.0,21803150.0,,,150178.0,89.98,48.3,39.78,,2740.0,117073.0,0.214,78.7,54806014.0,81.721,29.1,5.732,3.12,5591.597,6.4,202.104,4.61,6.3,35.2,79.287,0.9,67.13,0.583,,,,
