iso_code,continent,location,last_updated_date,total_cases,new_cases,new_cases_smoothed,total_deaths,new_deaths,new_deaths_smoothed,total_cases_per_million,new_cases_per_million,new_cases_smoothed_per_million,total_deaths_per_million,new_deaths_per_million,new_deaths_smoothed_per_million,reproduction_rate,icu_patients,icu_patients_per_million,hosp_patients,hosp_patients_per_million,weekly_icu_admissions,weekly_icu_admissions_per_million,weekly_hosp_admissions,weekly_hosp_admissions_per_million,total_tests,new_tests,total_tests_per_thousand,new_tests_per_thousand,new_tests_smoothed,new_tests_smoothed_per_thousand,positive_rate,tests_per_case,tests_units,total_vaccinations,people_vaccinated,people_fully_vaccinated,total_boosters,new_vaccinations,new_vaccinations_smoothed,total_vaccinations_per_hundred,people_vaccinated_per_hundred,people_fully_vaccinated_per_hundred,total_boosters_per_hundred,new_vaccinations_smoothed_per_million,new_people_vaccinated_smoothed,new_people_vaccinated_smoothed_per_hundred,stringency_index,population,population_density,median_age,aged_65_older,aged_70_older,gdp_per_capita,extreme_poverty,cardiovasc_death_rate,diabetes_prevalence,female_smokers,male_smokers,handwashing_facilities,hospital_beds_per_thousand,life_expectancy,human_development_index,excess_mortality_cumulative_absolute,excess_mortality_cumulative,excess_mortality,excess_mortality_cumulative_per_million
HRV,Europe,Croatia,2022-03-28,1094202.0,143.0,1414.0,15534.0,14.0,11.857,268077.891,35.035,346.428,3805.807,3.43,2.905,1.03,,,,,,,,,4660113.0,,1141.721,,5184.0,1.27,0.262,3.8,people tested,5222632.0,2310591.0,2237572.0,,9.0,895.0,127.95,56.61,54.82,,219.0,159.0,0.004,35.19,4081657.0,73.726,44.0,19.724,13.053,22669.797,0.7,253.782,5.59,34.3,39.9,,5.54,78.49,0.851,,,,
CUB,North America,Cuba,2022-03-28,1088017.0,834.0,830.857,8510.0,1.0,0.429,96135.824,73.691,73.414,751.933,0.088,0.038,1.17,,,,,,,,,,,,,,,,,,35335766.0,10630542.0,9910122.0,6242511.0,16126.0,12454.0,312.22,93.93,87.56,55.16,1100.0,837.0,0.007,29.63,11317498.0,110.408,43.1,14.738,9.719,,,190.968,8.27,17.1,53.3,85.198,5.2,78.8,0.783,,,,
CUW,North America,Curacao,2022-03-28,40217.0,364.0,52.0,267.0,0.0,0.286,244041.118,2208.791,315.542,1620.185,0.0,1.734,,,,,,,,,,,,,,,,,,,246508.0,107529.0,98482.0,40497.0,18.0,60.0,149.58,65.25,59.76,24.57,364.0,23.0,0.014,,164796.0,362.644,41.7,16.367,10.068,,,,11.62,,,,,78.88,,,,,
CYP,Europe,Cyprus,2022-03-28,416514.0,6494.0,4838.857,935.0,3.0,2.143,464856.781,7247.727,5400.48,1043.521,3.348,2.392,1.23,8.0,8.929,143.0,159.597,9.0,10.135,97.0,108.107,28098844.0,82650.0,31360.142,92.243,86652.0,96.709,0.054,18.6,tests performed,,,,,,,,,,,,,,36.11,896005.0,127.657,37.3,13.416,8.563,32415.132,,141.171,9.24,19.6,52.7,,3.4,80.98,0.887,,,,
CZE,Europe,Czechia,2022-03-28,3799158.0,8836.0,8426.286,39610.0,47.0,33.714,354248.611,823.904,785.7,3693.394,4.382,3.144,1.08,166.0,15.479,1857.0,173.154,111.0,10.35,1546.0,144.155,53664763.0,8814.0,5003.916,0.822,27049.0,2.522,0.263,3.8,tests performed,17489007.0,6951006.0,6858149.0,4090018.0,2637.0,3049.0,163.07,64.81,63.95,38.14,284.0,222.0,0.002,47.22,10724553.0,137.176,43.3,19.027,11.58,32605.906,,227.485,6.82,30.5,38.3,,6.63,79.38,0.9,,,,
COD,Africa,Democratic Republic of Congo,2022-03-28,86628.0,17.0,23.857,1335.0,0.0,0.0,937.756,0.184,0.258,14.451,0.0,0.0,0.97,,,,,,,,,,,,,,,,,,964948.0,853971.0,519397.0,,,4759.0,1.04,0.92,0.56,,52.0,4146.0,0.004,39.81,92377986.0,35.879,17.0,3.02,1.745,808.133,77.1,318.949,6.1,,,4.472,,60.68,0.48,,,,
DNK,Europe,Denmark,2022-03-28,3045935.0,3372.0,5115.286,5585.0,0.0,22.143,523959.533,580.049,879.928,960.728,0.0,3.809,0.62,26.0,4.473,1213.0,208.659,,,1104.0,189.909,66506365.0,15939.0,11440.377,2.742,29062.0,4.999,0.185,5.4,tests performed,13144184.0,4841547.0,4736414.0,3613137.0,1036.0,960.0,226.11,83.28,81.48,62.15,165.0,55.0,0.001,13.89,5813302.0,136.52,42.3,19.677,12.325,46682.515,0.2,114.767,6.41,19.3,18.8,,2.5,80.9,0.94,1376.3,1.1,-3.67,236.75
DJI,Africa,Djibouti,2022-03-28,15585.0,5.0,1.714,189.0,0.0,0.0,15550.835,4.989,1.711,188.586,0.0,0.0,0.92,,,,,,,,,296053.0,,295.404,,415.0,0.414,0.002,404.0,tests performed,165554.0,145050.0,105020.0,,,194.0,16.52,14.47,10.48,,194.0,192.0,0.019,,1002197.0,41.285,25.4,4.213,2.38,2705.406,22.5,258.037,6.05,1.7,24.5,,1.4,67.11,0.524,,,,
DMA,North America,Dominica,2022-03-28,11805.0,18.0,8.571,63.0,0.0,0.143,163567.589,249.404,118.764,872.915,0.0,1.979,0.92,,,,,,,,,,,,,,,,,,62334.0,32403.0,29931.0,,,32.0,86.37,44.9,41.47,,443.0,17.0,0.024,55.56,72172.0,98.567,,,,9673.367,,227.376,11.62,,,,3.8,75.0,0.742,,,,
DOM,North America,Dominican Republic,2022-03-28,577910.0,69.0,79.429,4375.0,0.0,0.0,52759.274,6.299,7.251,399.408,0.0,0.0,0.64,,,,,,,,,3204935.0,2613.0,292.589,0.239,3599.0,0.329,0.027,36.6,samples tested,15478425.0,7183028.0,5920444.0,2291605.0,9680.0,7801.0,141.31,65.58,54.05,20.92,712.0,1580.0,0.014,8.33,10953714.0,222.873,27.6,6.981,4.419,14600.861,1.6,266.653,8.2,8.5,19.1,55.182,1.6,74.08,0.756,,,,
ECU,South America,Ecuador,2022-03-28,857299.0,1985.0,1085.714,35418.0,0.0,1.143,47924.658,110.965,60.694,1979.934,0.0,0.064,0.98,,,,,,,,,2621582.0,7169.0,146.551,0.401,3770.0,0.211,0.134,7.5,people tested,33080633.0,14831598.0,13697506.0,5105849.0,40291.0,38216.0,184.93,82.91,76.57,28.54,2136.0,1722.0,0.01,65.74,17888474.0,66.939,28.1,7.104,4.458,10581.936,3.6,140.448,5.55,2.0,12.3,80.635,1.5,77.01,0.759,,,,
EGY,Africa,Egypt,2022-03-28,505264.0,4375.0,625.0,24417.0,56.0,8.0,4846.27,41.963,5.995,234.197,0.537,0.077,-0.01,,,,,,,,,6012910.0,,57.673,,1019.0,0.01,0.0,3.4,tests performed,76716981.0,44531740.0,31722116.0,1707438.0,,274453.0,73.58,42.71,30.43,1.64,2632.0,165177.0,0.158,43.52,104258327.0,97.999,25.3,5.159,2.891,10550.206,1.3,525.432,17.31,0.2,50.1,89.827,1.6,71.99,0.707,,,,
SLV,North America,El Salvador,2022-03-28,161052.0,0.0,0.0,4117.0,1.0,0.571,24706.911,0.0,0.0,631.587,0.153,0.088,0.12,,,,,,,,,1484613.0,4637.0,227.754,0.711,4673.0,0.717,0.034,29.4,tests performed,10418549.0,4582343.0,4281899.0,1554307.0,46995.0,15896.0,159.83,70.3,65.69,23.84,2439.0,672.0,0.01,,6518500.0,307.811,27.6,8.273,5.417,7292.458,2.2,167.295,8.87,2.5,18.8,90.65,1.3,73.32,0.673,,,,
GNQ,Africa,Equatorial Guinea,2022-03-28,16000.0,1.0,14.429,183.0,0.0,0.0,11035.312,0.69,9.951,126.216,0.0,0.0,0.51,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1449891.0,45.194,22.4,2.846,1.752,22604.873,,202.812,7.78,,,24.64,2.1,58.74,0.592,,,,
ERI,Africa,Eritrea,2022-03-28,9724.0,0.0,0.143,103.0,0.0,0.0,2700.015,0.0,0.04,28.599,0.0,0.0,0.54,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,3601462.0,44.304,19.3,3.607,2.171,1510.459,,311.11,6.05,0.2,11.4,,0.7,66.32,0.459,,,,
EST,Europe,Estonia,2022-03-28,552287.0,573.0,1319.143,2444.0,5.0,6.714,416761.244,432.391,995.438,1844.267,3.773,5.067,0.74,15.0,11.319,479.0,361.458,11.0,8.277,311.0,234.767,3247815.0,2149.0,2450.833,1.622,3622.0,2.733,0.368,2.7,tests performed,1970535.0,859063.0,842662.0,456346.0,150.0,479.0,148.7,64.83,63.59,34.44,361.0,49.0,0.004,37.96,1325188.0,31.033,42.7,19.452,13.491,29481.252,0.5,255.569,4.02,24.5,39.3,,4.69,78.74,0.892,,,,
SWZ,Africa,Eswatini,2022-03-28,69672.0,8.0,15.571,1394.0,1.0,0.286,59428.388,6.824,13.282,1189.045,0.853,0.244,1.06,,,,,,,,,514794.0,,439.106,,1075.0,0.917,0.013,74.9,tests performed,509424.0,387509.0,318360.0,,,500.0,43.45,33.05,27.16,,426.0,225.0,0.019,,1172369.0,79.492,21.5,3.163,1.845,7738.975,,333.436,3.94,1.7,16.5,24.097,2.1,60.19,0.611,,,,
